UD,time_s,Vcommand_mps,Vcommand_RPM
D,1629070741.7869213,0.0,0.0
D,1629070741.8977332,0.0,0.0
D,1629070742.00877,0.0,0.0
D,1629070742.1201336,0.0,0.0
D,1629070742.235945,0.0,0.0
D,1629070742.354978,0.0,0.0
D,1629070742.4710371,0.0,0.0
D,1629070742.571712,0.0,0.0
D,1629070742.6837304,0.0,0.0
D,1629070742.7950702,0.0,0.0
D,1629070742.9058926,0.0,0.0
D,1629070743.0181475,0.0,0.0
D,1629070743.1271765,0.0,0.0
D,1629070743.2475328,0.0,0.0
D,1629070743.3485627,0.0,0.0
D,1629070743.4612913,0.0,0.0
D,1629070743.5721054,0.0,0.0
D,1629070743.6840184,0.0,0.0
D,1629070743.7954376,0.0,0.0
D,1629070743.906256,0.0,0.0
D,1629070744.022715,0.0,0.0
D,1629070744.133195,0.0,0.0
D,1629070744.245643,0.0,0.0
D,1629070744.3535018,0.0,0.0
D,1629070744.4639375,0.0,0.0
D,1629070744.574934,0.0,0.0
D,1629070744.685076,0.0,0.0
D,1629070744.7963514,0.0,0.0
D,1629070744.9076953,0.0,0.0
D,1629070745.0184476,0.0,0.0
D,1629070745.1298506,0.0,0.0
D,1629070745.2408297,0.0,0.0
D,1629070745.3525314,0.0,0.0
D,1629070745.4638915,0.0,0.0
D,1629070745.5740814,0.0,0.0
D,1629070745.6824033,0.0,0.0
D,1629070745.7921007,0.0,0.0
D,1629070745.9041646,0.0,0.0
D,1629070746.0151823,0.0,0.0
D,1629070746.1269352,0.0,0.0
D,1629070746.238098,0.0,0.0
D,1629070746.348555,0.0,0.0
D,1629070746.4588242,0.0,0.0
D,1629070746.5686016,0.0,0.0
D,1629070746.6792295,0.0,0.0
D,1629070746.7912738,0.0,0.0
D,1629070746.9022894,0.0,0.0
D,1629070747.0147576,0.0,0.0
D,1629070747.1226625,0.0,0.0
D,1629070747.2344615,0.0,0.0
D,1629070747.3460557,0.0,0.0
D,1629070747.4546602,0.0,0.0
D,1629070747.5659308,0.0,0.0
D,1629070747.6817505,0.0,0.0
D,1629070747.7929416,0.0,0.0
D,1629070747.903917,0.0,0.0
D,1629070748.0110457,0.0,0.0
D,1629070748.1188738,0.0,0.0
D,1629070748.2296002,0.0,0.0
D,1629070748.3400524,0.0,0.0
D,1629070748.4510543,0.0,0.0
D,1629070748.562166,0.0,0.0
D,1629070748.6878896,0.0,0.0
D,1629070748.791151,0.0,0.0
D,1629070748.9020014,0.0,0.0
D,1629070749.0095038,0.0,0.0
D,1629070749.120845,0.0,0.0
D,1629070749.2315683,0.0,0.0
D,1629070749.3429875,0.0,0.0
D,1629070749.4545915,0.0,0.0
D,1629070749.5665267,0.0,0.0
D,1629070749.6771579,0.0,0.0
D,1629070749.7882738,0.0,0.0
D,1629070749.8990545,0.0,0.0
D,1629070750.0025237,0.0,0.0
D,1629070750.1215494,0.0,0.0
D,1629070750.2333605,0.0,0.0
