UD,target_m,time_s,Vcommand_mps,Vcommand_RPM
D,-0.2,1629072406.84648,-0.0006132500000000014,-18.397500000000043
D,-0.2,1629072406.9582028,-0.0006062499999999999,-18.1875
D,-0.2,1629072407.092693,-0.000597250000000002,-17.917500000000057
D,-0.2,1629072407.212207,-0.0005909999999999999,-17.73
D,-0.2,1629072407.3306963,-0.0005845000000000017,-17.53500000000005
D,-0.2,1629072407.4482315,-0.0005772500000000014,-17.31750000000004
D,-0.2,1629072407.563914,-0.0005700000000000011,-17.10000000000003
D,-0.2,1629072407.6971414,-0.0005622500000000002,-16.867500000000007
D,-0.2,1629072407.8073626,-0.0005562499999999998,-16.687499999999993
D,-0.2,1629072407.9127042,-0.0005502500000000021,-16.507500000000064
D,-0.2,1629072408.018906,-0.0005442500000000017,-16.32750000000005
D,-0.2,1629072408.1411977,-0.0005380000000000023,-16.14000000000007
D,-0.2,1629072408.249987,-0.0005322500000000008,-15.967500000000022
D,-0.2,1629072408.3589966,-0.0005260000000000015,-15.780000000000044
D,-0.2,1629072408.483311,-0.0005192500000000017,-15.57750000000005
D,-0.2,1629072408.599975,-0.0005130000000000024,-15.390000000000072
D,-0.2,1629072408.7122195,-0.0005067500000000003,-15.202500000000008
D,-0.2,1629072408.8243752,-0.0005015000000000019,-15.045000000000059
D,-0.2,1629072408.9371855,-0.0004957500000000004,-14.872500000000013
D,-0.2,1629072409.049316,-0.0004902500000000005,-14.707500000000014
D,-0.2,1629072409.161809,-0.0004847500000000005,-14.542500000000013
D,-0.2,1629072409.2699049,-0.00047950000000000217,-14.385000000000064
D,-0.2,1629072409.377589,-0.0004740000000000022,-14.220000000000066
D,-0.2,1629072409.487726,-0.0004687500000000011,-14.062500000000034
D,-0.2,1629072409.6014326,-0.0004632500000000012,-13.897500000000036
D,-0.2,1629072409.709713,-0.00045825000000000173,-13.74750000000005
D,-0.2,1629072409.8212216,-0.00045325000000000226,-13.597500000000068
D,-0.2,1629072409.934434,-0.0004482500000000001,-13.447500000000003
D,-0.2,1629072410.0422418,-0.00044350000000000227,-13.305000000000069
D,-0.2,1629072410.154788,-0.00043825000000000114,-13.147500000000035
D,-0.2,1629072410.2616181,-0.0004337500000000022,-13.012500000000067
D,-0.2,1629072410.375287,-0.00042825000000000225,-12.847500000000068
D,-0.2,1629072410.4865253,-0.0004235000000000017,-12.70500000000005
D,-0.2,1629072410.5950963,-0.00041899999999999994,-12.569999999999997
D,-0.2,1629072410.7059479,-0.0004140000000000005,-12.420000000000016
D,-0.2,1629072410.8173563,-0.00040950000000000155,-12.285000000000046
D,-0.2,1629072410.9267476,-0.0004049999999999998,-12.149999999999993
D,-0.2,1629072411.0411522,-0.000400250000000002,-12.007500000000059
D,-0.2,1629072411.1500633,-0.00039575000000000027,-11.872500000000008
D,-0.2,1629072411.2617633,-0.00039175000000000185,-11.752500000000056
D,-0.2,1629072411.3736784,-0.0003872500000000001,-11.617500000000003
D,-0.2,1629072411.4784393,-0.00038325000000000164,-11.497500000000048
D,-0.2,1629072411.594805,-0.00037874999999999996,-11.362499999999999
D,-0.2,1629072411.7012804,-0.00037449999999999983,-11.234999999999994
D,-0.2,1629072411.8149562,-0.00037024999999999976,-11.107499999999993
D,-0.2,1629072411.9275475,-0.00036600000000000245,-10.980000000000073
D,-0.2,1629072412.0499444,-0.00036075000000000137,-10.82250000000004
D,-0.2,1629072412.1622756,-0.00035675000000000013,-10.702500000000004
D,-0.2,1629072412.2704213,-0.0003532500000000022,-10.597500000000066
D,-0.2,1629072412.38403,-0.0003490000000000021,-10.470000000000063
D,-0.2,1629072412.491731,-0.0003455000000000014,-10.365000000000043
D,-0.2,1629072412.5996282,-0.00034150000000000017,-10.245000000000006
D,-0.2,1629072412.7112932,-0.0003380000000000022,-10.140000000000066
D,-0.2,1629072412.8240967,-0.00033424999999999986,-10.027499999999996
D,-0.2,1629072412.9367106,-0.0003302500000000014,-9.907500000000041
D,-0.2,1629072413.0471358,-0.00032675000000000065,-9.80250000000002
D,-0.2,1629072413.1605642,-0.0003225000000000006,-9.675000000000017
D,-0.2,1629072413.2727306,-0.000318750000000001,-9.562500000000028
D,-0.2,1629072413.386636,-0.00031575000000000076,-9.472500000000023
D,-0.2,1629072413.4985301,-0.0003120000000000012,-9.360000000000035
D,-0.2,1629072413.6077273,-0.0003082500000000016,-9.247500000000048
D,-0.2,1629072413.7182817,-0.00030450000000000203,-9.135000000000062
D,-0.2,1629072413.8303993,-0.00030125000000000014,-9.037500000000003
D,-0.2,1629072413.942888,-0.0002977500000000022,-8.932500000000067
D,-0.2,1629072414.0556567,-0.00029450000000000033,-8.83500000000001
D,-0.2,1629072414.1673093,-0.0002915000000000001,-8.745000000000003
D,-0.2,1629072414.2832322,-0.0002877500000000005,-8.632500000000014
D,-0.2,1629072414.3976135,-0.0002847500000000003,-8.542500000000008
D,-0.2,1629072414.5077205,-0.00028125000000000236,-8.437500000000071
D,-0.2,1629072414.6223266,-0.00027800000000000047,-8.340000000000014
D,-0.2,1629072414.7346401,-0.0002747500000000014,-8.24250000000004
D,-0.2,1629072414.8468132,-0.00027200000000000005,-8.160000000000002
D,-0.2,1629072414.9583902,-0.0002687500000000009,-8.062500000000028
D,-0.2,1629072415.0705276,-0.00026550000000000185,-7.965000000000055
D,-0.2,1629072415.1823514,-0.0002625000000000016,-7.875000000000049
D,-0.2,1629072415.29968,-0.00025950000000000143,-7.785000000000043
D,-0.2,1629072415.4071555,-0.0002565000000000012,-7.695000000000036
D,-0.2,1629072415.514293,-0.00025350000000000096,-7.605000000000028
D,-0.2,1629072415.6234486,-0.0002512500000000001,-7.537500000000003
D,-0.2,1629072415.738243,-0.0002482499999999999,-7.447499999999996
